Family,SpeciesName,WoodDensity
Meliaceae,Aglaia argentea,0.65
Meliaceae,Aglaia argentea,0.66
Meliaceae,Aglaia aspera,0.71
Meliaceae,Aglaia cordata,0.78
Meliaceae,Aglaia cucullata,0.62
Meliaceae,Aglaia cucullata,0.58
Meliaceae,Aglaia cucullata,0.456
Meliaceae,Aglaia dasyclada,0.56
Meliaceae,Aglaia dasyclada,0.5
Meliaceae,Aglaia dasyclada,0.6
Meliaceae,Aglaia edulis,0.71
Meliaceae,Aglaia elaeagnoidea,0.63
Meliaceae,Aglaia elliptica,0.66
Meliaceae,Aglaia exstipulata,0.8
Meliaceae,Aglaia forbesii,0.66
Meliaceae,Aglaia grandis,0.66
Meliaceae,Aglaia griffithii,0.86
Meliaceae,Aglaia hiernii,0.5
Meliaceae,Aglaia indet,0.723
Meliaceae,Aglaia lanceolata,0.69
Meliaceae,Aglaia lawii,0.61
Meliaceae,Aglaia lawii,0.58
Meliaceae,Aglaia leptantha,0.64
Meliaceae,Aglaia leucophylla,0.72
Meliaceae,Aglaia luzoniensis,0.65
Meliaceae,Aglaia macrocarpa,0.55
Meliaceae,Aglaia maingayi,0.79
Meliaceae,Aglaia malaccensis,0.61
Meliaceae,Aglaia malaccensis,0.67
Meliaceae,Aglaia merostela,0.74
Meliaceae,Aglaia multinervis,0.64
Meliaceae,Aglaia nitidula,0.689
Meliaceae,Aglaia odoratissima,0.71
Meliaceae,Aglaia odoratissima,0.72
Meliaceae,Aglaia pachyphylla,0.69
Meliaceae,Aglaia perviridis,0.81
Meliaceae,Aglaia ridleyi,0.61
Meliaceae,Aglaia roxburghiana,0.663
Meliaceae,Aglaia roxburghiana,0.74
Meliaceae,Aglaia rubescens,0.58
Meliaceae,Aglaia rubiginosa,0.76
Meliaceae,Aglaia rubiginosa,0.76
Meliaceae,Aglaia sapindina,0.42
Meliaceae,Aglaia silvestris,0.67
Meliaceae,Aglaia simplicifolia,0.77
Meliaceae,Aglaia spectabilis,0.55
Meliaceae,Aglaia spectabilis,0.6
Meliaceae,Aglaia subcuprea,0.73
Meliaceae,Aglaia tenuicaulis,0.73
Meliaceae,Aglaia tomentosa,0.66
Meliaceae,Aglaia tomentosa,0.69
Meliaceae,Aglaia unifoliolata,0.76
Meliaceae,Aglaia wallichii,0.554
Opiliaceae,Agonandra brasiliensis,0.87
Opiliaceae,Agonandra brasiliensis,0.861
Opiliaceae,Agonandra brasiliensis,0.8
Opiliaceae,Agonandra brasiliensis,0.74
Opiliaceae,Agonandra silvatica,0.861
Opiliaceae,Agonandra silvatica,0.8
Euphorbiaceae,Agrostistachys borneensis,0.82
Euphorbiaceae,Agrostistachys gaudichaudii,0.59
Rubiaceae,Aidia micrantha,0.663
Rubiaceae,Aidia ochroleuca,0.824
Rubiaceae,Aidia racemosa,0.771
Simaroubaceae,Ailanthus altissima,0.457
Simaroubaceae,Ailanthus altissima,0.548
Simaroubaceae,Ailanthus altissima,0.579
Simaroubaceae,Ailanthus altissima,0.505
Simaroubaceae,Ailanthus altissima,0.536
Simaroubaceae,Ailanthus altissima,0.49
Simaroubaceae,Ailanthus excelsa,0.4
Simaroubaceae,Ailanthus integrifolia,0.31
Simaroubaceae,Ailanthus integrifolia,0.3
Simaroubaceae,Ailanthus peekelii,0.465
Simaroubaceae,Ailanthus triphysa,0.375
Simaroubaceae,Ailanthus triphysa,0.366
Simaroubaceae,Ailanthus triphysa,0.375
Simaroubaceae,Ailanthus triphysa,0.375
Simaroubaceae,Ailanthus triphysa,0.3
Lauraceae,Aiouea impressa,0.37
Cunoniaceae,Aistopetalum viticoides,0.76
Akaniaceae,Akania bidwillii,0.573
Akaniaceae,Akania bidwillii,0.573
Cornaceae,Alangium chinense,0.412
Cornaceae,Alangium chinense,0.432
Cornaceae,Alangium chinense,0.361
Cornaceae,Alangium griffithii,0.7
Cornaceae,Alangium javanicum,0.68
Cornaceae,Alangium javanicum,0.78
Cornaceae,Alangium kurzii,0.42
Cornaceae,Alangium longiflorum,0.683
Cornaceae,Alangium maliliense,0.69
Cornaceae,Alangium nobile,0.77
Cornaceae,Alangium nobile,0.73
Cornaceae,Alangium ridleyi,0.72
Cornaceae,Alangium ridleyi,0.83
Cornaceae,Alangium salviifolium,0.8
Cornaceae,Alangium villosum,0.607
Cornaceae,Alangium villosum,0.607
Cornaceae,Alangium villosum,0.51
Cornaceae,Alangium villosum,0.51
Cornaceae,Alangium villosum,0.55
Cornaceae,Alangium villosum,0.55
Fabaceae,Albizia acle,0.51
Fabaceae,Albizia adianthifolia,0.5
Fabaceae,Albizia adianthifolia,0.646
Fabaceae,Albizia adianthifolia,0.482
Fabaceae,Albizia adianthifolia,0.516
Fabaceae,Albizia adianthifolia,0.45
Fabaceae,Albizia adianthifolia,0.474
Fabaceae,Albizia adianthifolia,0.502
Fabaceae,Albizia adianthifolia,0.49
Fabaceae,Albizia amara,0.723
Fabaceae,Albizia amara,0.758
Fabaceae,Albizia antunesiana,0.715
Fabaceae,Albizia antunesiana,0.671
Fabaceae,Albizia brevifolia,0.801
Fabaceae,Albizia chinensis,0.3
Fabaceae,Albizia coriaria,0.56
Fabaceae,Albizia dinklagei,0.76
Fabaceae,Albizia falcata,0.298
Fabaceae,Albizia falcata,0.344
