feature,score,p_value,rank
V243,1318.0671721376946,2.902877910548115e-286,134
V244,1317.5795651127937,3.690406925831457e-286,135
V242,1317.324841573852,4.1834236941913136e-286,136
V261,1316.2505292218898,7.099244076897135e-286,137
V262,1315.415904539538,1.0706587135569076e-285,138
V236,1315.103310580677,1.2487707313058515e-285,139
V253,1314.934805026409,1.3567780447613463e-285,140
V248,1314.8245206895403,1.432476099555118e-285,141
V254,1314.7636665948132,1.4760391828729218e-285,142
V237,1314.7257736320082,1.5038320710409275e-285,143
V260,1314.6824593592376,1.5362428368962729e-285,144
V252,1314.6694155416828,1.546139306553938e-285,145
V235,1314.6505982928675,1.560528568921944e-285,146
V249,1314.6022777657574,1.5980949990689308e-285,147
V247,1314.4687817154006,1.70664784075856e-285,148
V224,1314.3448805548796,1.8139858905123054e-285,149
V225,1314.0831876070008,2.0634019136733725e-285,150
V223,1313.76999668334,2.4073778636058663e-285,151
V240,1313.767548862557,2.410280624363361e-285,152
V241,1313.762835911469,2.4158793622739635e-285,153
V226,1313.7048078646865,2.4858888749269387e-285,154
V209,1299.6721646279968,2.488571699522085e-282,155
V59,1288.2287589482505,6.969281319997819e-280,156
V205,1271.2714213349213,2.9530877669151655e-276,157
V60,1263.2312293367136,1.5499234837053912e-274,158
D8,1257.7099773036996,2.352730923549217e-273,159
V23,1244.5915432974364,1.5086074687818438e-270,160
V303,1218.01128530532,7.370954963901868e-265,161
V276,1211.7716223603775,1.5968984909731005e-263,162
id_02,1185.940570727006,5.422544383642758e-258,163
V111,1184.8143453477646,9.449133208583715e-258,164
V266,1176.0520554276186,7.112415158121654e-256,165
V269,1172.3310674721124,4.456647370206286e-255,166
V216,1143.345237716726,7.223580653674505e-249,167
V278,1123.134441211045,1.5487510631080095e-244,168
V277,1056.3147152072297,3.294759849657316e-230,169
V268,1051.5899697386417,3.3994378230191275e-229,170
V113,1002.5382443379009,1.143033494699373e-218,171
V273,990.348988950229,4.731263686309782e-216,172
V283,932.2283301976302,1.4414945936697882e-203,173
V125,877.5448546647684,8.190627091841948e-192,174
V24,868.7858495258088,6.265055970157593e-190,175
V263,864.0517309153669,6.532543875489048e-189,176
V90,839.1166067228293,1.5098057751719177e-183,177
V29,818.002356731944,5.275770912206743e-179,178
V69,809.1540327083954,4.233147902470231e-177,179
V282,796.4694470824385,2.2756611140370213e-174,180
V108,795.5851162665299,3.5276367330522147e-174,181
V275,782.2593656976039,2.609148884428018e-171,182
V112,775.3495596240886,8.023814138856561e-170,183
V91,769.6753822432972,1.3375313652254738e-168,184
V114,754.3903701450068,2.620518471960693e-165,185
V267,752.7385801023295,5.945549273357815e-165,186
V70,750.0304062745762,2.2780626313723182e-164,187
V46,745.0808845080265,2.65344936765576e-163,188
V30,743.049692346902,7.267745764836275e-163,189
V215,740.3288595654001,2.802727055833253e-162,190
V48,679.2195650093133,4.159946575618292e-149,191
V274,669.7221061980196,4.6474579704822185e-147,192
V207,655.6058726407907,5.151193286471524e-144,193
V5_isna,631.2200377624332,9.399720049649311e-139,194
V9_isna,631.2200377624332,9.399720049649311e-139,195
V11_isna,631.2200377624332,9.399720049649311e-139,196
V10_isna,631.2200377624332,9.399720049649311e-139,197
V7_isna,631.2200377624332,9.399720049649311e-139,198
V8_isna,631.2200377624332,9.399720049649311e-139,199
D11_isna,631.2200377624332,9.399720049649311e-139,200
V1_isna,631.2200377624332,9.399720049649311e-139,201
V2_isna,631.2200377624332,9.399720049649311e-139,202
V3_isna,631.2200377624332,9.399720049649311e-139,203
V4_isna,631.2200377624332,9.399720049649311e-139,204
V6_isna,631.2200377624332,9.399720049649311e-139,205
V49,629.6881260261607,2.0122692904543096e-138,206
