gene,log2FC,FDR,AveExpr
SEMA5A,-1.0311657369360478,3.058686479315908e-11,8.797055081247423
CYP2S1,-1.0311294553715609,3.7467730563536654e-06,9.602979814180411
DPP4,-1.028759026071354,0.005431295613450464,9.961525781819589
RHOU,-1.0273537196078202,5.788778487865697e-09,9.343157653314432
PRAP1,-1.0121725387817104,0.00020562050591707635,8.583882522706185
ZNF511-PRAP1,-1.0121725387817104,0.00020562050591707635,8.583882522706185
SUGCT,-1.0120246142811826,1.2585204617660447e-10,6.168922798536081
LGALS2,-1.0053546675824512,0.00013772437735109678,8.063120361572166
ALDOC,-1.0051601815930233,5.049669685509835e-06,8.057778991494844
SLC52A3,-1.0042217682885841,1.2205905511570855e-09,8.325936477386596
RAPGEFL1,-1.00143547463108,4.04029363555513e-08,9.107022132871133
