gene,log2FC,FDR,AveExpr
MTHFD2,1.02525958585254,2.7826285833408772e-11,8.652704266788659
ZG16B,1.0237234364048664,3.2133046346310766e-07,9.56579128735567
LAMA4,1.0230180097896389,2.1196089976657806e-07,7.818116779618556
FCER1G,1.0228778455681802,0.00015541748822700514,7.556936113036082
MSN,1.022300935273785,2.2828865055754355e-06,9.605266131649485
SETD7,1.0175205390544475,8.698934000437255e-13,8.703356111036081
HLA-DQB2,1.0168144238361485,2.542871062835017e-06,9.117941053103094
ENTPD1,1.015517564470926,8.278067919378009e-06,8.326993515809278
BIRC3,1.013547195025371,6.502526508160658e-05,9.004927150912371
PRRX1,1.011803250695558,0.000349247542328269,7.041601720283505
MCAM,1.0086874346723054,4.0926970082365207e-07,7.94772391522165
LYZ,1.0086158770687117,1.2008290410080737e-08,12.154815870443299
IGFBP7,1.0074350803810823,1.834851530347789e-07,10.098316174216494
ASPHD2,1.0054074293731539,4.462965147222407e-10,7.43335097592268
RHOJ,1.0051233005332953,4.2794796774000944e-07,7.7519668815154645
CD34,1.0009750100211408,9.468605394175293e-08,8.104444122427836
